1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
2,"La discussione dell'udienza da remoto è
chiesta:","Nel primo atto difensivo o in apposita istanza
notificata alle altre parti costituite entro il
termine di cui all'articolo 32, comma 2, del
d.lgs. del 31 dicembre 1992 n. 546.","Nel primo atto difensivo o in apposita istanza
notificata alle altre parti costituite entro il
termine di cui all'articolo 35, comma 1, del
d.lgs. del 31 dicembre 1992 n. 546.","Nel primo atto difensivo o in apposita istanza
notificata alle altre parti costituite entro il
termine di cui all'articolo 34, comma 3, del
d.lgs. del 31 dicembre 1992 n. 546.","Nel primo atto difensivo o in apposita istanza
notificata alle altre parti costituite entro il
termine di cui all'articolo 33, comma 5, del
d.lgs. del 31 dicembre 1992 n. 546."
3,"Ai sensi dell'art. 45 del d.lgs. del 31
dicembre 1992 n. 546 che disciplina
l'estinzione del processo","Avverso il decreto del presidente è ammesso
reclamo alla Corte che provvede a norma
dell'art. 28 del d.lgs. del 31 dicembre 1992 n.
546.","Avverso l'ordinanza del presidente è ammesso
reclamo alla Corte che provvede a norma
dell'art. 28 del d.lgs. del 31 dicembre 1992 n.
546.","Avverso la sentenza del presidente è ammesso
reclamo alla Corte che provvede a norma
dell'art. 28 del d.lgs. del 31 dicembre 1992 n.
546.","Avverso l'ordinanza del presidente non è
ammesso reclamo alla Corte che provvede a
norma dell'art. 28 del d.lgs. del 31 dicembre
1992 n. 546."
4,"L'estinzione del processo può essere
dichiarata:",Dal Presidente della sezione con decreto.,Dal Presidente della sezione con ordinanza.,Dal Presidente della sezione con sentenza.,"Dal Presidente della Corte di giustizia tributaria
con ordinanza."
5,Seleziona l'affermazione corretta:,"Le Agenzie delle entrate, delle dogane e dei
monopoli di cui al decreto legislativo 30 luglio
1999, n. 300, possono essere assistite nel
processo tributario dall'Avvocatura dello Stato.","Le Agenzie delle entrate, delle dogane e dei
monopoli di cui al decreto legislativo 30 luglio
1999, n. 300, non possono essere assistite nel
processo tributario dall'Avvocatura dello Stato.","Le Agenzie delle entrate, delle dogane e dei
monopoli di cui al decreto legislativo 30 luglio
1999, n. 300, possono essere assistite nel
processo tributario esclusivamente dai Dirigenti
dei rispettivi uffici.","Le Agenzie delle entrate, delle dogane e dei
monopoli di cui al decreto legislativo 30 luglio
1999, n. 300, possono essere assistite nel
processo tributario esclusivamente dai Dirigenti
dei rispettivi uffici, previa consultazione
dell'Avvocatura dello Stato."
6,"Ai sensi dell'art. 67 del d.lgs. del 31
dicembre 1992 n. 546:","Contro la sentenza che decide il giudizio di
revocazione sono ammessi i mezzi
d'impugnazione ai quali era originariamente
soggetta la sentenza impugnata per
revocazione.","Contro la sentenza che decide il giudizio di
revocazione è ammesso esclusivamente ricorso
per cassazione.","Contro la sentenza che decide il giudizio di
revocazione è ammesso esclusivamente ricorso
per l'ottemperanza.","Contro la sentenza che decide il giudizio di
revocazione è ammesso esclusivamente il
ricorso per l'annullamento in autotutela del
provvedimento giurisdizionale."
7,"Il capo IV, titolo II del d.lgs. del 31
dicembre 1992 n. 546 art.67 bis e seguenti","E' dedicato all'esecuzione delle sentenze delle
Corti di giustizia tributaria di primo e secondo
grado.","E' dedicato alla sospensione delle sentenze delle
Corti di giustizia tributaria di primo e secondo
grado.",E' dedicato al giudizio di revocazione.,"E' dedicato al giudizio dinanzi alla Corte di
giustizia tributaria di secondo grado."
8,"Ai sensi dell'art. 41 del d.lgs. del 31
dicembre 1992 n. 546:","La sospensione è disposta e l'interruzione è
dichiarata dal presidente della sezione con
decreto o dalla Corte di giustizia tributaria con
ordinanza.","La sospensione è dichiarata e l'interruzione è
disposta dal presidente della Corte con decreto
o dalla Corte di giustizia tributaria con
ordinanza.","La sospensione è disposta e l'interruzione è
dichiarata dalla Corte di giustizia tributaria.","La sospensione è disposta e l'interruzione è
dichiarata dal presidente della sezione con
decreto o dal presidente della sezione con
ordinanza."
9,"Ai sensi dell'art. 38 del d.lgs. del 31
dicembre 1992 n. 546:","Il soggetto sul quale ricade l'onere di notificare
la sentenza alle parti, deposita, nei successivi
trenta giorni, l'originale o copia autentica
dell'originale notificato, ovvero copia autentica
della sentenza consegnata o spedita per posta,
con fotocopia della ricevuta di deposito o della
spedizione per raccomandata a mezzo del
servizio postale unitamente all'avviso di
ricevimento nella segreteria, che ne rilascia
ricevuta e l'inserisce nel fascicolo d'ufficio.","Il soggetto sul quale ricade l'onere di notificare
la sentenza alle parti, deposita, nei successivi
sessanta giorni, l'originale o copia autentica
dell'originale notificato, ovvero copia autentica
della sentenza consegnata o spedita per posta,
con fotocopia della ricevuta di deposito o della
spedizione per raccomandata a mezzo del
servizio postale unitamente all'avviso di
ricevimento nella segreteria, che ne rilascia
ricevuta e l'inserisce nel fascicolo d'ufficio.","Il soggetto sul quale ricade l'onere di notificare
la sentenza alle parti, deposita, nei successivi
quaranta giorni, l'originale o copia autentica
dell'originale notificato, ovvero copia autentica
della sentenza consegnata o spedita per posta,
con fotocopia della ricevuta di deposito o della
spedizione per raccomandata a mezzo del
servizio postale unitamente all'avviso di
ricevimento nella segreteria, che ne rilascia
ricevuta e l'inserisce nel fascicolo d'ufficio.","Il soggetto sul quale ricade l'onere di notificare
la sentenza alle parti, deposita, nei successivi
quarantacinque giorni, l'originale e la copia
autentica dell'originale notificato, nonché la
copia autentica della sentenza consegnata o
spedita per posta, con fotocopia della ricevuta
di deposito o della spedizione per raccomandata
a mezzo del servizio postale unitamente
all'avviso di ricevimento nella segreteria, che ne
rilascia ricevuta e l'inserisce nel fascicolo delle
parti."
10,Selezionare l'affermazione corretta:,"Il segretario fa risultare l'avvenuto deposito
della sentenza apponendovi la propria firma
digitale e la data, dandone comunicazione alle
parti costituite.","Il presidente della Corte di giustizia fa risultare
l'avvenuto deposito della sentenza apponendovi
la propria firma digitale e la data, dandone
comunicazione alle parti costituite.","Il giudice relatore fa risultare l'avvenuto
deposito della sentenza apponendovi la propria
firma digitale e la data, dandone comunicazione
alle parti costituite.","Il giudice estensore fa risultare l'avvenuto
deposito della sentenza apponendovi la propria
firma digitale e la data, dandone comunicazione
alle parti costituite."
11,"L'ente impositore, l'agente della riscossione
ed i soggetti iscritti all'albo di cui all'articolo
53 del decreto legislativo 15 dicembre 1997,
n. 446 nei cui confronti è stato proposto il
ricorso si costituiscono in giudizio:","Entro sessanta giorni dal giorno in cui il
ricorso è stato notificato.","Entro trenta giorni dal giorno in cui il ricorso è
stato notificato. Si tratta di un termine
perentorio.","Entro trenta giorni dal giorno in cui il ricorso è
stato notificato. Si tratta di un termine
ordinatorio.","Entro novanta giorni dal giorno in cui il ricorso
è stato notificato. Si tratta di un termine
ordinatorio."
