1,"Dispone l'art. 1874 del codice civile che, se la
rendita è costituita a favore di più persone:","La parte spettante al creditore premorto si
accresce a favore degli altri, salvo patto
contrario.","La parte spettante al creditore premorto non si
accresce a favore degli altri, salvo patto
contrario.","La parte spettante al creditore premorto non si
accresce in nessun caso a favore degli altri.","La parte spettante al creditore premorto si
accresce in ogni caso a favore degli altri."
2,"Indicare quale/i delle seguenti affermazioni
è/sono conforme/i al disposto dell'art. 1448
del codice civile, relativo all'azione generale
di rescissione per lesione: 1) L'azione di
rescissione non è ammissibile se la lesione
non eccede il doppio del valore che la
prestazione eseguita o promessa dalla parte
danneggiata aveva al tempo del contratto; 2)
La lesione deve perdurare fino al tempo in cui
la domanda è proposta; 3) Possono essere
rescissi per causa di lesione anche i contratti
aleatori.",La n. 2.,La n. 2 e la n. 3.,La n. 1 e la n. 3.,Tutte le tre affermazioni.
3,"Il diritto reale di godimento su un fondo di
proprietà altrui, generalmente agricolo,
secondo il quale il possessore ha la facoltà di
godimento pieno sul fondo stesso, ma per
contro deve migliorare il fondo stesso e
pagare inoltre al proprietario un canone
annuo in denaro o in derrate, è definito
dall'art. 957 e seguenti del codice civile:",Diritto di enfiteusi.,Diritto di superficie.,Diritto di uso.,Diritto di usufrutto.
4,"Un comitato che non abbia ottenuto la
personalità giuridica può stare in giudizio, ai
sensi dell'art. 41 del codice civile?","Si, nella persona del presidente.","Si, nella persona del sottoscrittore più
anziano.","No, solo i comitati riconosciuti possono stare
in giudizio.","No, nessun ente di fatto può stare in giudizio."
5,"Indicare quale/i della/e seguente/i
affermazione/i è/sono conforme/i al disposto
dell'articolo 1073 del codice civile: 1) nelle
servitù che si esercitano a intervalli, il
termine di decorrenza della prescrizione della
servitù inizia dal giorno in cui la servitù si
sarebbe potuta esercitare e non ne fu ripreso
l'esercizio; 2) agli effetti dell'estinzione non si
computa il tempo per il quale la servitù non fu
esercitata dai precedenti titolari; 3) se il fondo
dominante appartiene a più persone in
comune, l'uso della servitù fatto da una di
esse impedisce l'estinzione riguardo a tutte; 4)
la sospensione o l'interruzione del non uso a
vantaggio di uno dei comproprietari giova
anche agli altri.","La n. 1, la n. 3 e la n. 4.","La n. 2, la n. 3 e la n. 4.",La n. 2 e la n. 4.,Tutte le quattro affermazioni.
6,"Quale delle seguenti affermazioni non è
conforme al disposto dell'art. 828 del codice
civile?","I beni che costituiscono il patrimonio dello
Stato sono soggetti esclusivamente alle regole
particolari che li concernono e non possono
essere soggetti alle regole del codice civile.","I beni che fanno parte del patrimonio
indisponibile non possono essere sottratti alla
loro destinazione, se non nei modi stabiliti
dalle leggi che li riguardano.","I beni che costituiscono il patrimonio delle
Provincie sono soggetti alle regole particolari
che li concernono e, in quanto non è
diversamente disposto, alle regole del codice
civile.","I beni che costituiscono il patrimonio dei
Comuni sono soggetti alle regole particolari
che li concernono e, in quanto non è
diversamente disposto, alle regole del codice
civile."
7,"È di seguito riportato il 1° comma dell'art.
1268: ""Se il debitore assegna al creditore un
nuovo debitore, il quale si obbliga verso il
creditore, il debitore originario non è liberato
dalla sua obbligazione, salvo che il creditore
dichiari espressamente di liberarlo"". Esso è
rubricato:",Delegazione cumulativa.,Delegazione liberatoria.,Espromissione liberatoria.,Accollo liberatorio.
8,"In base all'art. 1207 del codice civile, durante
la mora del creditore sono dovuti gli
interessi?","No. Non sono più dovuti gli interessi né i
frutti della cosa che non siano stati percepiti
dal debitore.","Si, nella misura precedentemente convenuta.","Si, solo nella misura legale.","Si, salvo diversa pattuizione."
9,"Con riferimento al contratto di anticresi, è
valido un patto con cui si conviene che la
proprietà dell'immobile passi al creditore nel
caso di mancato pagamento del debito, ai
sensi dell'art. 1963 del codice civile?","No, è nullo, anche se posteriore alla
conclusione del contratto.","È nullo solo se posteriore alla conclusione del
contratto.","Si, è valido a tutti gli effetti.","È valido solo se posteriore alla conclusione
del contratto."
10,"A norma dell'art. 1167 del codice civile,
l'usucapione è interrotta quando il possessore
è stato privato del possesso per:",Oltre un anno.,Oltre nove mesi.,Oltre sei mesi.,Oltre tre mesi.
11,"Quando il contratto, pur rispettando la lettera
della legge, costituisce il mezzo per eludere
l'applicazione di una norma imperativa, e cioè
per raggiungere un risultato praticamente
equivalente a quello vietato dall'articolo 1344
c.c.:",È equiparato al contratto con causa illecita.,"È equiparato al contratto con oggetto
indeterminabile.",È annullabile.,"È equiparato al contratto con oggetto
impossibile."
12,"Indicare quale/i delle seguenti affermazioni
non è/sono conforme/i al disposto dell'art.
1867 del codice civile, in materia di riscatto
forzoso della rendita perpetua: 1) Il debitore
di una rendita perpetua può essere costretto al
riscatto se è in mora nel pagamento di tre
annualità di rendita; 2) Il debitore di una
rendita perpetua può essere costretto al
riscatto se non ha dato al creditore le garanzie
promesse, o se, venendo a mancare quelle già
date, non ne sostituisce altre di uguale
sicurezza; 3) Il debitore di una rendita
perpetua può essere costretto al riscatto se,
per effetto di alienazione o di divisione, il
fondo su cui è garantita la rendita è diviso fra
meno di tre persone.",La n. 1 e la n. 3.,La n. 2 e la n. 3.,La n. 1 e la n. 2.,Tutte le tre affermazioni.
13,"Per espressa previsione di cui all'art. 2937,
comma 2, del codice civile le parti possono
rinunziare alla prescrizione:",Quando la prescrizione è compiuta.,Mentre è in corso il termine di prescrizione.,In ogni tempo.,"Anche anteriormente al compimento della
prescrizione, purché la rinunzia sia fatta con
atto pubblico."
14,"Ai sensi dell'art. 949 del codice civile, con
l'azione negatoria:","Il proprietario può agire per far dichiarare
l'inesistenza di diritti affermati da altri sulla
cosa, quando ha motivo di temerne
pregiudizio.","Il proprietario può rivendicare la cosa, da
chiunque la possiede.","Il proprietario può rivendicare la cosa, da
chiunque la detiene.","Il proprietario, se consegue direttamente dal
nuovo possessore o detentore la restituzione
della cosa, è tenuto a restituire al precedente
possessore o detentore la somma ricevuta in
luogo di essa."
15,"Dispone l'art. 1351 del codice civile che il
contratto preliminare, ossia il contratto con
cui le parti si obbligano a stipulare un
successivo contratto definitivo, del quale
deve essere già determinato nel preliminare il
contenuto essenziale:","È nullo se non è fatto nella stessa forma che
la legge prescrive per il contratto definitivo.",Può essere sempre stipulato in forma libera.,Vincola sempre solo una parte.,"Può essere fatto anche in una forma diversa
da quella prevista dalla legge per il contratto
definitivo."
16,"Dal momento in cui è stata adottata
dall'assemblea la deliberazione di
scioglimento dell'associazione, ai sensi
dell'art. 29 del c.c., gli amministratori possono
compiere nuove operazioni?","No, e qualora trasgrediscano al divieto,
assumono responsabilità personale e solidale.","Si, impegnando validamente l'associazione,
senza rispondere personalmente e
solidalmente.","Si, sino alla sua effettiva liquidazione.","Si, purché previsto nell'atto costitutivo e nello
statuto."
17,"L'art. 1075 del codice civile dispone che la
servitù esercitata in modo da trarne un'utilità
minore di quella indicata dal titolo si
conserva:",Per intero.,Per la metà.,Per un terzo.,Per un quarto.
18,"Dispone l'art. 815 del c.c. che i beni mobili
iscritti in pubblici registri sono soggetti alle
disposizioni che li riguardano e, in mancanza,
alle disposizioni relative:",Ai beni mobili.,Ai beni immobili.,"Ai beni mobili o ai beni immobili, a seconda
delle tipologie.",Alle pertinenze.
19,"In base a quanto previsto dall'art. 1441, 1°
comma, del codice civile, l'annullamento del
contratto può essere domandato:","Solo dalla parte nel cui interesse è stabilito
dalla legge.",Da chiunque vi abbia interesse.,"Dai soggetti tassativamente indicati nel 2°
comma dello stesso art. 1441.",Da tutte le parti contraenti.
20,"In base all'art. 244, 2° comma, del codice
civile, il marito può disconoscere il figlio nel
termine di:","Un anno che decorre dal giorno della nascita
quando egli si trovava al tempo di questa nel
luogo in cui è nato il figlio.","Dieci mesi che decorrono dal giorno della
nascita quando egli si trovava al tempo di
questa nel luogo in cui è nato il figlio.","Nove mesi che decorrono dal giorno della
nascita quando egli si trovava al tempo di
questa nel luogo in cui è nato il figlio.","Sei mesi che decorrono dal giorno della
nascita quando egli si trovava al tempo di
questa nel luogo in cui è nato il figlio."
21,"È corretto affermare, in base al disposto di cui
all'art. 1262 del codice civile, che il cedente
ha l'obbligo di consegnare al cessionario i
documenti probatori del credito che sono in
suo possesso, se è stata ceduta solo una parte
del credito?","No, in tal caso è tenuto a dare al cessionario
solo una copia autentica dei documenti.","Sì, in ogni caso.","Si, salvo che nelle cessioni a titolo gratuito.","No, al cessionario è solo consentito prendere
visione dei documenti ed estrarre copia
semplice."
22,"Ai sensi dell'art. 1206 del codice civile, si ha
mora del creditore:","Quando, senza legittimo motivo, il creditore
non riceve il pagamento offertogli nei modi
indicati dal codice civile.","Quando scade il termine per l'adempimento
stipulato in favore del debitore.","Solo quando il creditore non compie quanto è
necessario affinché il debitore possa
adempiere l'obbligazione.","In tutti i casi in cui il creditore non riceve il
pagamento offertogli anche se in presenza di
cause giustificatrici."
23,"In base all'art. 1450 del codice civile, il
contraente contro il quale è domandata la
rescissione può evitarla offrendo una
modificazione del contratto sufficiente per
ricondurlo ad equità?",Sì.,"No, perché il contratto è nullo e non sanabile.","No, ad eccezione dei casi tassativamente
previsti dalla legge.","L'art. 1450 del codice civile non prevede tale
fattispecie."
24,"A norma dell'art. 1189 del codice civile, che
disciplina l'ipotesi del pagamento al creditore
apparente, colui che ha ricevuto il pagamento
è tenuto alla restituzione verso il vero
creditore?","Sì, secondo le regole stabilite per la
ripetizione dell'indebito.","Sì, con gli interessi moratori previsti per le
transazioni commerciali.","No, può ritenerlo se in buona fede, in base ad
un titolo astrattamente idoneo.","Sì, secondo le regole stabilite per l'indebito
arricchimento."
25,"Per espressa previsione di cui all'art. 2671,
comma 1, del codice civile, il notaio o altro
pubblico ufficiale che ha ricevuto o
autenticato l'atto soggetto a trascrizione, ha
l'obbligo di curare che questa venga eseguita:",Nel più breve tempo possibile.,Entro venti giorni.,Entro dieci giorni.,Entro quarantacinque giorni.
26,"A norma dell'art. 1869 del codice civile, in
materia di rendita perpetua, è corretto
affermare che le disposizioni degli articoli
1864, 1865, 1866, 1867 e 1868 dello stesso
codice si applicano a ogni altra annua
prestazione perpetua costituita a qualsiasi
titolo?","Sì, anche per atto di ultima volontà.","Sì, escluso per atto di ultima volontà.","No, non si applica nessuno dei predetti
articoli.","No, si applicano solo le disposizioni degli
articoli 1864 e 1865."
27,"In materia di obbligazioni, dispone l'art. 1207
del codice civile che quando il creditore è in
mora:","È a suo carico l'impossibilità della prestazione
sopravvenuta per causa non imputabile al
debitore e non sono più dovuti gli interessi né
i frutti della cosa che non siano stati percepiti
dal debitore.","È a suo carico l'impossibilità della prestazione
sopravvenuta per causa non imputabile al
debitore, ma sono comunque dovuti gli
interessi ed i frutti della cosa che non siano
stati percepiti dal debitore.","È a suo carico l'impossibilità della prestazione
sopravvenuta per causa non imputabile al
debitore e non sono più dovuti gli interessi
ma sono comunque dovuti i frutti della cosa
che non siano stati percepiti dal debitore.","È a suo carico l'impossibilità della prestazione
sopravvenuta per causa non imputabile al
debitore e non sono più dovuti i frutti della
cosa che non siano stati percepiti dal debitore
ma continuano ad essere dovuti gli interessi."
